AccountStatus,Months,CreditHistory,Purpose,Amount,Savings,Employment,InstallmentRate,Sex,Status,Other,ResidenceSince,Property,Age,InstallmentPlans,Housing,CreditsHere,Job,LiablePeople,Telephone,ForeignWorker,Risk
0 - 200 DM,12.0,Some paid back,Car (new),1007.0,>= 1000 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,1.0,Real estate,22.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Some paid back,Car (new),640.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,2.0,Real estate,49.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,36.0,Past delays,Business,9857.0,100 - 500 DM,4 - 7 years,1.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,31.0,None,Own,2.0,Unskilled resident,2.0,Registered,Yes,Good
No account,15.0,Some paid back,Radio/television,3568.0,< 100 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,54.0,Bank,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,30.0,All paid back,Furniture/equipment,3496.0,>= 1000 DM,1 - 4 years,4.0,Male,Single,None,2.0,Car or other,34.0,Stores,Own,1.0,Employee,2.0,Registered,Yes,Good
< 0 DM,12.0,Critical,Car (used),1526.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,66.0,None,For free,2.0,Mgmt / Self-employed / other,1.0,None,Yes,Good
No account,24.0,Some paid back,Car (used),2670.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,35.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,12.0,Some paid back,Radio/television,804.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,38.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,18.0,Some paid back,Car (new),5866.0,100 - 500 DM,1 - 4 years,2.0,Male,Single,None,2.0,Car or other,30.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,36.0,Past delays,Radio/television,4454.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,4.0,Real estate,34.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,60.0,Critical,Car (new),13756.0,Unknown/None,>= 7 years,2.0,Male,Single,None,4.0,Unknown/None,63.0,Bank,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,12.0,Critical,Car (new),1163.0,500 - 1000 DM,1 - 4 years,4.0,Male,Single,None,4.0,Real estate,44.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,24.0,Some paid back,Furniture/equipment,2835.0,500 - 1000 DM,>= 7 years,3.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,53.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,6.0,Critical,Car (new),1299.0,< 100 DM,1 - 4 years,1.0,Male,Single,None,1.0,Real estate,74.0,None,Own,3.0,Unemployed/unskilled non-resident,2.0,None,No,Good
< 0 DM,12.0,Some paid back,Radio/television,701.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,2.0,Real estate,40.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,24.0,Some paid back,Furniture/equipment,3069.0,100 - 500 DM,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,30.0,None,For free,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,18.0,Past delays,Car (new),2899.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Car or other,43.0,None,Own,1.0,Employee,2.0,None,Yes,Good
No account,12.0,Critical,Education,3565.0,Unknown/None,< 1 year,2.0,Male,Single,None,1.0,Bldg. society savings / Life insurance,37.0,None,Own,2.0,Unskilled resident,2.0,None,Yes,Good
No account,15.0,Critical,Radio/television,1459.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,2.0,Car or other,43.0,None,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,48.0,Past delays,Radio/television,12749.0,500 - 1000 DM,4 - 7 years,4.0,Male,Single,None,1.0,Car or other,37.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
< 0 DM,18.0,Past delays,Education,8471.0,Unknown/None,1 - 4 years,1.0,Female,Married/Separated/Widowed,None,2.0,Car or other,23.0,None,Rent,2.0,Employee,1.0,Registered,Yes,Good
No account,15.0,Some paid back,Domestic appliances,874.0,Unknown/None,< 1 year,4.0,Female,Married/Separated/Widowed,None,1.0,Real estate,24.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Some paid back,Car (new),1469.0,100 - 500 DM,>= 7 years,4.0,Male,Married/Separated/Widowed,None,4.0,Real estate,41.0,None,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Education,1199.0,< 100 DM,4 - 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,67.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,18.0,Some paid back,Business,1913.0,>= 1000 DM,< 1 year,3.0,Male,Married/Separated/Widowed,None,3.0,Real estate,36.0,Bank,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,24.0,Some paid back,Car (new),2255.0,Unknown/None,< 1 year,4.0,Male,Single,None,1.0,Bldg. society savings / Life insurance,54.0,None,Own,1.0,Employee,1.0,None,Yes,Good
< 0 DM,48.0,Some paid back,Education,7476.0,< 100 DM,4 - 7 years,4.0,Male,Single,None,1.0,Unknown/None,50.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,18.0,Some paid back,Radio/television,1505.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Unknown/None,32.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,20.0,Critical,Car (new),3485.0,Unknown/None,< 1 year,2.0,Male,Married/Separated/Widowed,None,4.0,Real estate,44.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,6.0,Critical,Radio/television,1740.0,< 100 DM,>= 7 years,2.0,Male,Married/Separated/Widowed,None,2.0,Real estate,30.0,None,Rent,2.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,12.0,Some paid back,Radio/television,3016.0,< 100 DM,1 - 4 years,3.0,Male,Married/Separated/Widowed,None,1.0,Car or other,24.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,12.0,Some paid back,Furniture/equipment,1574.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,2.0,Real estate,50.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,6.0,Some paid back,Radio/television,2063.0,< 100 DM,< 1 year,4.0,Male,Married/Separated/Widowed,None,3.0,Car or other,30.0,None,Rent,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,20.0,Past delays,Car (used),7057.0,Unknown/None,4 - 7 years,3.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,36.0,Bank,Rent,2.0,Mgmt / Self-employed / other,2.0,Registered,Yes,Good
< 0 DM,18.0,Critical,Furniture/equipment,1049.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,21.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Repairs,2058.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,2.0,Real estate,33.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,15.0,Past delays,Radio/television,1478.0,< 100 DM,1 - 4 years,4.0,Male,Married/Separated/Widowed,None,3.0,Real estate,33.0,Bank,Own,2.0,Employee,1.0,None,Yes,Good
No account,9.0,Some paid back,Business,1449.0,< 100 DM,4 - 7 years,3.0,Female,Married/Separated/Widowed,None,2.0,Car or other,27.0,None,Own,2.0,Employee,1.0,None,Yes,Good
No account,10.0,Some paid back,Car (new),1546.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,2.0,Real estate,31.0,None,Own,1.0,Unskilled resident,2.0,None,No,Good
0 - 200 DM,12.0,Some paid back,Radio/television,1092.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,Guarantor,4.0,Real estate,49.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,24.0,Some paid back,Radio/television,2896.0,100 - 500 DM,< 1 year,2.0,Male,Single,None,1.0,Car or other,29.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,10.0,Some paid back,Education,727.0,500 - 1000 DM,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,46.0,None,For free,1.0,Employee,1.0,Registered,Yes,Good
No account,4.0,Critical,Car (new),3380.0,< 100 DM,4 - 7 years,1.0,Female,Married/Separated/Widowed,None,1.0,Real estate,37.0,None,Own,1.0,Employee,2.0,None,Yes,Good
< 0 DM,24.0,Some paid back,Business,6568.0,< 100 DM,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,2.0,Car or other,21.0,Stores,Own,1.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,18.0,Critical,Business,3590.0,< 100 DM,Unemployed,3.0,Male,Married/Separated/Widowed,None,3.0,Car or other,40.0,None,Own,3.0,Unemployed/unskilled non-resident,2.0,Registered,Yes,Good
No account,36.0,Some paid back,Radio/television,3595.0,< 100 DM,>= 7 years,4.0,Male,Single,None,2.0,Car or other,28.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,24.0,Critical,Business,4139.0,100 - 500 DM,1 - 4 years,3.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,27.0,None,Own,2.0,Unskilled resident,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,15.0,Critical,Car (used),2360.0,500 - 1000 DM,1 - 4 years,2.0,Male,Single,None,2.0,Car or other,36.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,10.0,Critical,Car (new),1231.0,< 100 DM,>= 7 years,3.0,Male,Single,None,4.0,Real estate,32.0,None,Own,2.0,Unskilled resident,2.0,None,No,Good
No account,15.0,Some paid back,Car (used),4657.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,2.0,Car or other,30.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,10.0,Critical,Furniture/equipment,2069.0,Unknown/None,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,1.0,Car or other,26.0,None,Own,2.0,Employee,1.0,None,No,Good
No account,24.0,Critical,Car (new),2022.0,< 100 DM,1 - 4 years,4.0,Female,Married/Separated/Widowed,None,4.0,Car or other,37.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,12.0,Critical,Radio/television,1934.0,< 100 DM,>= 7 years,2.0,Male,Single,None,2.0,Unknown/None,26.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,18.0,Some paid back,Car (used),2779.0,< 100 DM,1 - 4 years,1.0,Male,Married/Separated/Widowed,None,3.0,Car or other,21.0,None,Rent,1.0,Employee,1.0,Registered,Yes,Good
No account,27.0,Critical,Furniture/equipment,4526.0,>= 1000 DM,< 1 year,4.0,Male,Single,None,2.0,Real estate,32.0,Stores,Own,2.0,Unskilled resident,2.0,Registered,Yes,Good
No account,12.0,Some paid back,Radio/television,1493.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,3.0,Car or other,34.0,None,Own,1.0,Employee,2.0,None,Yes,Good
0 - 200 DM,12.0,Some paid back,Car (new),2002.0,< 100 DM,4 - 7 years,3.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,30.0,None,Rent,1.0,Employee,2.0,Registered,Yes,Good
0 - 200 DM,12.0,Critical,Car (new),1995.0,100 - 500 DM,< 1 year,4.0,Male,Single,None,1.0,Car or other,27.0,None,Own,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,6.0,Some paid back,Radio/television,368.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Bldg. society savings / Life insurance,38.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,42.0,No history,Business,6289.0,< 100 DM,< 1 year,2.0,Male,Married/Separated/Widowed,None,1.0,Bldg. society savings / Life insurance,33.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,Some paid back,Car (used),2028.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,2.0,Car or other,30.0,None,Own,1.0,Employee,1.0,None,Yes,Good
>= 200 DM / salary >1yr,24.0,Critical,Furniture/equipment,3617.0,Unknown/None,>= 7 years,4.0,Male,Single,Co-applicant,4.0,Unknown/None,20.0,None,Rent,2.0,Employee,1.0,None,Yes,Good
No account,15.0,Critical,Car (used),3368.0,>= 1000 DM,>= 7 years,3.0,Male,Single,None,4.0,Unknown/None,23.0,None,Rent,2.0,Employee,1.0,Registered,Yes,Good
No account,12.0,Some paid back,Car (new),2133.0,Unknown/None,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Unknown/None,52.0,None,For free,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
0 - 200 DM,21.0,Past delays,Car (new),2353.0,< 100 DM,1 - 4 years,1.0,Male,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,47.0,None,Own,2.0,Employee,1.0,None,Yes,Good
0 - 200 DM,9.0,Some paid back,Radio/television,2118.0,< 100 DM,1 - 4 years,2.0,Male,Single,None,2.0,Real estate,37.0,None,Own,1.0,Unskilled resident,2.0,None,Yes,Good
No account,21.0,Past delays,Furniture/equipment,1591.0,100 - 500 DM,4 - 7 years,4.0,Male,Single,None,3.0,Real estate,34.0,None,Own,2.0,Mgmt / Self-employed / other,1.0,None,Yes,Good
< 0 DM,24.0,Some paid back,Car (used),2924.0,< 100 DM,1 - 4 years,3.0,Male,Single,Guarantor,4.0,Unknown/None,63.0,Bank,Own,1.0,Employee,2.0,Registered,Yes,Good
< 0 DM,30.0,Some paid back,Radio/television,2522.0,< 100 DM,>= 7 years,1.0,Male,Single,Guarantor,3.0,Bldg. society savings / Life insurance,39.0,None,Own,1.0,Employee,2.0,None,Yes,Good
No account,21.0,Some paid back,Radio/television,3160.0,Unknown/None,>= 7 years,4.0,Male,Single,None,3.0,Bldg. society savings / Life insurance,41.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,36.0,Some paid back,Radio/television,2323.0,< 100 DM,4 - 7 years,4.0,Male,Single,None,4.0,Car or other,24.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
0 - 200 DM,12.0,No history,Retraining,1410.0,< 100 DM,1 - 4 years,2.0,Male,Single,None,2.0,Real estate,31.0,None,Own,1.0,Unskilled resident,1.0,Registered,Yes,Good
< 0 DM,24.0,Critical,Radio/television,1231.0,>= 1000 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,4.0,Bldg. society savings / Life insurance,57.0,None,Rent,2.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,15.0,Critical,Radio/television,1316.0,500 - 1000 DM,1 - 4 years,2.0,Male,Married/Separated/Widowed,None,2.0,Bldg. society savings / Life insurance,47.0,None,Own,2.0,Unskilled resident,1.0,None,Yes,Good
0 - 200 DM,14.0,Some paid back,Business,1410.0,500 - 1000 DM,>= 7 years,1.0,Male,Married/Separated/Widowed,None,2.0,Real estate,35.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,10.0,All paid back,Radio/television,1048.0,< 100 DM,1 - 4 years,4.0,Male,Single,None,4.0,Real estate,23.0,Stores,Own,1.0,Unskilled resident,1.0,None,Yes,Good
No account,36.0,Critical,Car (used),11054.0,Unknown/None,1 - 4 years,4.0,Male,Single,None,2.0,Car or other,30.0,None,Own,1.0,Mgmt / Self-employed / other,1.0,Registered,Yes,Good
No account,18.0,Some paid back,Radio/television,4594.0,< 100 DM,< 1 year,3.0,Male,Single,None,2.0,Car or other,32.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
No account,9.0,Some paid back,Domestic appliances,1236.0,< 100 DM,< 1 year,1.0,Female,Married/Separated/Widowed,None,4.0,Real estate,23.0,None,Rent,1.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,24.0,Some paid back,Radio/television,1377.0,100 - 500 DM,>= 7 years,4.0,Female,Married/Separated/Widowed,None,2.0,Unknown/None,47.0,None,For free,1.0,Employee,1.0,Registered,Yes,Good
No account,60.0,Past delays,Radio/television,15653.0,< 100 DM,4 - 7 years,2.0,Male,Single,None,4.0,Car or other,21.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,30.0,Some paid back,Radio/television,2991.0,Unknown/None,>= 7 years,2.0,Female,Married/Separated/Widowed,None,4.0,Car or other,25.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,6.0,Critical,Radio/television,700.0,Unknown/None,>= 7 years,4.0,Male,Single,None,4.0,Unknown/None,36.0,None,For free,2.0,Employee,1.0,None,Yes,Good
No account,18.0,Some paid back,Car (used),3378.0,Unknown/None,1 - 4 years,2.0,Male,Single,None,1.0,Bldg. society savings / Life insurance,31.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
0 - 200 DM,36.0,Critical,Car (used),5800.0,< 100 DM,1 - 4 years,3.0,Male,Single,None,4.0,Car or other,34.0,None,Own,2.0,Employee,1.0,Registered,Yes,Good
No account,6.0,Some paid back,Radio/television,2108.0,< 100 DM,4 - 7 years,2.0,Male,Married/Separated/Widowed,None,2.0,Real estate,29.0,None,Rent,1.0,Employee,1.0,None,Yes,Good
< 0 DM,21.0,Critical,Car (new),571.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Real estate,65.0,None,Own,2.0,Employee,1.0,None,Yes,Good
< 0 DM,12.0,Some paid back,Furniture/equipment,3590.0,< 100 DM,1 - 4 years,2.0,Male,Single,Co-applicant,2.0,Bldg. society savings / Life insurance,29.0,None,Own,1.0,Unskilled resident,2.0,None,Yes,Good
No account,24.0,Critical,Furniture/equipment,5150.0,< 100 DM,>= 7 years,4.0,Male,Single,None,4.0,Car or other,33.0,None,Own,1.0,Employee,1.0,Registered,Yes,Good
>= 200 DM / salary >1yr,24.0,Some paid back,Furniture/equipment,2892.0,< 100 DM,>= 7 years,3.0,Male,Married/Separated/Widowed,None,4.0,Unknown/None,51.0,None,For free,1.0,Employee,1.0,None,Yes,Good
No account,15.0,Some paid back,Furniture/equipment,2186.0,Unknown/None,4 - 7 years,1.0,Female,Married/Separated/Widowed,None,4.0,Real estate,33.0,Bank,Rent,1.0,Unskilled resident,1.0,None,Yes,Good
< 0 DM,6.0,Some paid back,Domestic appliances,343.0,< 100 DM,< 1 year,4.0,Female,Married/Separated/Widowed,None,1.0,Real estate,27.0,None,Own,1.0,Employee,1.0,None,Yes,Good
No account,6.0,Some paid back,Car (new),672.0,< 100 DM,Unemployed,1.0,Female,Married/Separated/Widowed,None,4.0,Real estate,54.0,None,Own,1.0,Unemployed/unskilled non-resident,1.0,Registered,Yes,Good
